cbsa,fips,statefp,cnty,stcnty,tract,splittr,qct_id
100000,1047956500,1,47,1047,9565,0,10479565000
100000,1047956400,1,47,1047,9564,0,10479564000
100000,1105687100,1,105,1105,6871,0,11056871000
100000,1121010600,1,121,1121,106,0,11210106000
100000,1131034700,1,131,1131,347,0,11310347000
100000,1121011800,1,121,1121,118,0,11210118000
100000,1053970600,1,53,1053,9706,0,10539706000
100000,1099075600,1,99,1099,756,0,10990756000
100000,1109189101,1,109,1109,1891,0,11091891010
100000,1119011301,1,119,1119,113,0,11190113010
100000,1087231602,1,87,1087,2316,0,10872316020
100000,1005950900,1,5,1005,9509,0,10059509000
100000,1053970200,1,53,1053,9702,0,10539702000
100000,1031011300,1,31,1031,113,0,10310113000
100000,1109189102,1,109,1109,1891,0,11091891020
100000,1047956900,1,47,1047,9569,0,10479569000
100000,1105687001,1,105,1105,6870,0,11056870010
100000,1109188900,1,109,1109,1889,0,11091889000
100000,1045020700,1,45,1045,207,0,10450207000
100000,1119011400,1,119,1119,114,0,11190114000
100000,1011952100,1,11,1011,9521,0,10119521000
100000,1119011302,1,119,1119,113,0,11190113020
100000,1091973100,1,91,1091,9731,0,10919731000
100000,1091972902,1,91,1091,9729,0,10919729020
100000,1123962100,1,123,1123,9621,0,11239621000
100000,1039962700,1,39,1039,9627,0,10399627000
100000,1119011500,1,119,1119,115,0,11190115000
100000,1105687002,1,105,1105,6870,0,11056870020
100000,1099075700,1,99,1099,757,0,10990757000
100000,1047956300,1,47,1047,9563,0,10479563000
100000,1005950600,1,5,1005,9506,0,10059506000
100000,1123962600,1,123,1123,9626,0,11239626000
100000,1027959000,1,27,1027,9590,0,10279590000
100000,1011952202,1,11,1011,9522,0,10119522020
100000,1049961300,1,49,1049,9613,0,10499613000
100000,1013953100,1,13,1013,9531,0,10139531000
100000,1011952201,1,11,1011,9522,0,10119522010
100000,1025957700,1,25,1025,9577,0,10259577000
100000,1005950700,1,5,1005,9507,0,10059507000
100000,1119011600,1,119,1119,116,0,11190116000
100000,1091972901,1,91,1091,9729,0,10919729010
100000,1005950300,1,5,1005,9503,0,10059503000
100000,1039962600,1,39,1039,9626,0,10399626000
100000,1005950400,1,5,1005,9504,0,10059504000
100000,1025958003,1,25,1025,9580,0,10259580030
100000,1047956800,1,47,1047,9568,0,10479568000
100000,1131035200,1,131,1131,352,0,11310352000
100000,1023957000,1,23,1023,9570,0,10239570000
100000,1053970300,1,53,1053,9703,0,10539703000
100000,1095030803,1,95,1095,308,0,10950308030
100000,1095030804,1,95,1095,308,0,10950308040
100000,1099076000,1,99,1099,760,0,10990760000
100000,1029959600,1,29,1029,9596,0,10299596000
100000,1005950200,1,5,1005,9502,0,10059502000
100000,1121010500,1,121,1121,105,0,11210105000
100000,1049960800,1,49,1049,9608,0,10499608000
100000,1075030000,1,75,1075,300,0,10750300000
100000,1059973400,1,59,1059,9734,0,10599734000
100000,1057020300,1,57,1057,203,0,10570203000
100000,1087232300,1,87,1087,2323,0,10872323000
100000,1047956600,1,47,1047,9566,0,10479566000
100000,1131034801,1,131,1131,348,0,11310348010
100000,1095030101,1,95,1095,301,0,10950301010
100000,1071950200,1,71,1071,9502,0,10719502000
100000,1095030102,1,95,1095,301,0,10950301020
100000,1099076102,1,99,1099,761,0,10990761020
100000,1087231900,1,87,1087,2319,0,10872319000
100000,1045020500,1,45,1045,205,0,10450205000
100000,1131034802,1,131,1131,348,0,11310348020
100000,1095031100,1,95,1095,311,0,10950311000
100000,1121011600,1,121,1121,116,0,11210116000
100000,1091973200,1,91,1091,9732,0,10919732000
100000,1127021000,1,127,1127,210,0,11270210000
100000,1023956700,1,23,1023,9567,0,10239567000
100000,1039962100,1,39,1039,9621,0,10399621000
100000,1071950800,1,71,1071,9508,0,10719508000
100000,1121011000,1,121,1121,110,0,11210110000
100000,1005950800,1,5,1005,9508,0,10059508000
100000,1025957800,1,25,1025,9578,0,10259578000
100000,1121011301,1,121,1121,113,0,11210113010
100000,1049960301,1,49,1049,9603,0,10499603010
100000,1087231800,1,87,1087,2318,0,10872318000
100000,1127021500,1,127,1127,215,0,11270215000
100000,1087232200,1,87,1087,2322,0,10872322000
100000,1121011302,1,121,1121,113,0,11210113020
100000,1105686800,1,105,1105,6868,0,11056868000
10180,48441011900,48,441,48441,119,0,4.8441E+11
10180,48441010200,48,441,48441,102,0,4.8441E+11
10180,48441010800,48,441,48441,108,0,4.8441E+11
10180,48441010400,48,441,48441,104,0,4.8441E+11
10180,48441010500,48,441,48441,105,0,4.8441E+11
10180,48441011000,48,441,48441,110,0,4.8441E+11
10180,48441012400,48,441,48441,124,0,4.8441E+11
10380,72131009200,72,131,72131,92,0,7.2131E+11
10380,72141957400,72,141,72141,9574,0,7.2142E+11
10380,72005400600,72,5,72005,4006,0,7.20054E+11
10380,72081958400,72,81,72081,9584,0,7.2082E+11
