census_tract_number,state,county,tract_type,acs_data_source
01001020700,Alabama,Autauga,Low-Income Community,2011-2015
01003010200,Alabama,Baldwin,Low-Income Community,2011-2015
01003010400,Alabama,Baldwin,Non-LIC Contiguous,2011-2015
01003010500,Alabama,Baldwin,Low-Income Community,2011-2015
01003010600,Alabama,Baldwin,Low-Income Community,2011-2015
01003011501,Alabama,Baldwin,Non-LIC Contiguous,2011-2015
01003011502,Alabama,Baldwin,Low-Income Community,2011-2015
01005950100,Alabama,Barbour,Low-Income Community,2011-2015
01007010002,Alabama,Bibb,Low-Income Community,2011-2015
01009050500,Alabama,Blount,Low-Income Community,2011-2015
01011952200,Alabama,Bullock,Low-Income Community,2011-2015
01013952800,Alabama,Butler,Low-Income Community,2012-2016
01015000700,Alabama,Calhoun,Low-Income Community,2011-2015
01015000800,Alabama,Calhoun,Low-Income Community,2011-2015
01015002101,Alabama,Calhoun,Low-Income Community,2011-2015
01017954300,Alabama,Chambers,Low-Income Community,2011-2015
01019955900,Alabama,Cherokee,Low-Income Community,2011-2015
01021060102,Alabama,Chilton,Low-Income Community,2011-2015
01023956800,Alabama,Choctaw,Low-Income Community,2011-2015
01025957902,Alabama,Clarke,Low-Income Community,2011-2015
01027959000,Alabama,Clay,Low-Income Community,2011-2015
01029959600,Alabama,Cleburne,Low-Income Community,2011-2015
01031010900,Alabama,Coffee,Low-Income Community,2011-2015
01033020200,Alabama,Colbert,Low-Income Community,2011-2015
01035960400,Alabama,Conecuh,Low-Income Community,2011-2015
01037961000,Alabama,Coosa,Low-Income Community,2011-2015
01039962000,Alabama,Covington,Low-Income Community,2011-2015
01039962700,Alabama,Covington,Low-Income Community,2011-2015
01041963700,Alabama,Crenshaw,Low-Income Community,2011-2015
01043964800,Alabama,Cullman,Low-Income Community,2011-2015
01043965000,Alabama,Cullman,Low-Income Community,2011-2015
01045020700,Alabama,Dale,Low-Income Community,2011-2015
01047956500,Alabama,Dallas,Low-Income Community,2011-2015
01049960900,Alabama,DeKalb,Low-Income Community,2011-2015
01051031000,Alabama,Elmore,Low-Income Community,2011-2015
01051031300,Alabama,Elmore,Low-Income Community,2011-2015
01053970400,Alabama,Escambia,Low-Income Community,2011-2015
01055001200,Alabama,Etowah,Low-Income Community,2011-2015
