zip_code,cbsa_sub,area_name,sdda_2023
10038,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1
10003,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1
10018,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1
10009,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1
10069,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1
10002,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1
10162,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1
10007,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1
10065,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1
11109,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1
11201,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1
10280,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1
10005,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1
77010,METRO26420M26420,"Houston-The Woodlands-Sugar Land, TX HUD Metro FMR Area",1
10004,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1
7310,METRO35620MM3640,"Jersey City, NJ HUD Metro FMR Area",1
10021,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1
10006,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1
10016,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1
10044,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1
10028,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1
10022,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1
10036,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1
10282,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1
91210,METRO31080MM4480,"Los Angeles-Long Beach-Glendale, CA HUD Metro FMR Area",1
33473,METRO33100MM8960,"West Palm Beach-Boca Raton, FL HUD Metro FMR Area",1
33786,METRO45300M45300,"Tampa-St. Petersburg-Clearwater, FL MSA",1
90292,METRO31080MM4480,"Los Angeles-Long Beach-Glendale, CA HUD Metro FMR Area",1
11217,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1
10017,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1
10023,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1
93953,METRO41500M41500,"Salinas, CA MSA",1
10128,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1
7311,METRO35620MM3640,"Jersey City, NJ HUD Metro FMR Area",1
33131,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1
10014,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1
90094,METRO31080MM4480,"Los Angeles-Long Beach-Glendale, CA HUD Metro FMR Area",1
34688,METRO45300M45300,"Tampa-St. Petersburg-Clearwater, FL MSA",1
